"Modulo";"Sotto-modulo / Task";"Descrizione";"Complessità (1-5)";"Rischio (1-5)";"Razionale punteggio";"Ore stimate";"Note"
"Branding — Identità Visiva";"Progettazione logo";"Concept, revisioni, versioni finali: colore, monocromo, favicon";2;2;"Scope contenuto e deliverable chiari. Il rischio è legato al ciclo di revisioni: la cliente non ha riferimenti estetici forti.";12;"Prevedere 2-3 round di revisione"
"Branding — Identità Visiva";"Palette colori";"Definizione colori primari, secondari e neutri coerenti con il settore medico-pediatrico";1;1;"Operazione standard una volta definita la direzione creativa del logo.";3;""
"Branding — Identità Visiva";"Selezione font";"Scelta font heading e body coerenti con brand identity";1;1;"Attività semplice, derivata dalla direzione creativa.";2;""
"Branding — Identità Visiva";"Consegna brand kit";"Preparazione file logo (formati vettoriali e raster) + documento con specifiche colori e font";1;1;"Deliverable standard.";2;""
"Setup & Infrastruttura WordPress";"Installazione WordPress";"Setup WordPress su hosting, configurazione iniziale";1;1;"Operazione di routine su stack maturo.";3;""
"Setup & Infrastruttura WordPress";"Setup tema e page builder";"Installazione e configurazione tema leggero + page builder";1;1;"Configurazione standard.";2;""
"Setup & Infrastruttura WordPress";"Configurazione base";"SSL, permalink, impostazioni generali WordPress";1;1;"Setup standard.";1;""
"Setup & Infrastruttura WordPress";"Plugin essenziali";"Installazione e configurazione plugin per SEO, cache, backup, sicurezza, GDPR";1;1;"Plugin consolidati, configurazione standard.";3;""
"Design UI/UX";"Wireframe e layout";"Definizione struttura e layout delle 4 pagine principali";2;2;"Complessità bassa ma serve un design che si distingua dai colleghi dello stesso centro (vincolo esplicito).";8;"Vincolo: non emulare il sito della Dott.ssa Ciliberti"
"Design UI/UX";"Design responsive";"Adattamento design per desktop, tablet e mobile";2;1;"Standard ma richiede attenzione ai dettagli su tutti i breakpoint.";6;""
"Design UI/UX";"Applicazione brand identity";"Integrazione colori, font e stile visivo nel design del sito";1;1;"Derivata dal modulo branding.";3;""
"Design UI/UX";"Selezione immagini";"Scelta e trattamento immagini coerenti con il settore medico-pediatrico";1;1;"La cliente ha foto disponibili, quindi è solo adattamento.";2;"Foto fornite dalla cliente"
"Sviluppo Pagine";"Homepage";"Hero, presentazione professionale, servizi in evidenza, CTA prenotazione MioDottore";2;1;"Pagina standard con componenti tipici di un sito vetrina.";6;""
"Sviluppo Pagine";"Chi Sono";"Bio professionale, formazione, approccio clinico, foto";1;1;"Pagina statica semplice.";3;""
"Sviluppo Pagine";"Servizi e Specializzazioni";"Elenco e descrizione aree: Pediatria, Allergologia, Dermatologia Pediatrica";2;1;"Richiede struttura chiara per presentare più aree di competenza.";4;""
"Sviluppo Pagine";"Contatti";"Info contatto, mappa studio Sanimed, orari, form di contatto";2;1;"Integrazione mappa e form, componenti standard.";4;""
"Integrazione MioDottore";"Widget/embed booking";"Integrazione widget MioDottore per prenotazione visite online";2;3;"Dipendenza esterna: il widget potrebbe avere limitazioni di personalizzazione o comportamenti non prevedibili su mobile.";4;"Verificare che la cliente abbia profilo MioDottore attivo"
"Integrazione MioDottore";"CTA strategiche";"Posizionamento pulsanti Prenota una visita in header, homepage e contatti";1;1;"Implementazione semplice di link/bottoni.";2;""
"Integrazione MioDottore";"Test cross-device";"Verifica funzionamento widget su desktop, tablet e mobile";1;2;"Dipende dal comportamento del widget MioDottore sui vari dispositivi.";2;""
"SEO & Ottimizzazione";"SEO on-page";"Meta title, meta description, heading structure per ogni pagina";1;1;"Configurazione standard con plugin SEO.";3;""
"SEO & Ottimizzazione";"Google Analytics e Search Console";"Setup e collegamento strumenti di analisi";1;1;"Operazione di routine.";1;""
"SEO & Ottimizzazione";"Ottimizzazione performance";"Caching, compressione immagini, lazy loading";1;1;"Configurazione plugin standard.";2;""
"SEO & Ottimizzazione";"Sitemap e robots.txt";"Generazione e configurazione";1;1;"Automatizzata dal plugin SEO.";1;""
"Contenuti & Copywriting";"Stesura testi pagine";"Scrittura contenuti per Homepage, Chi Sono, Servizi, Contatti";3;3;"La cliente non ha testi pronti. Servono informazioni dettagliate dalla cliente per produrre contenuti autentici e non generici. Linguaggio medico da rendere accessibile.";12;"Collo di bottiglia principale: dipende dalla disponibilità della cliente per revisioni"
"Contenuti & Copywriting";"Adattamento web e SEO";"Ottimizzazione testi per leggibilità web e motori di ricerca";2;1;"Attività standard di content optimization.";4;""
"Contenuti & Copywriting";"Revisione e impaginazione";"Revisione finale testi e inserimento nel sito";1;2;"Semplice ma dipende dall'approvazione dei testi da parte della cliente.";3;"Rischio di ritardo se la cliente tarda nelle revisioni"
